minutes,v1,v2,v3,v4,v5,v6,v7,v8
0,0,-0.9615971177877257,201.346578776,198.62645051792578,206.543774414,200.44082430147398,31.5575211589,35.72553535712107
60,0,0.19293742295816518,197.737462836,199.4401689418067,202.02980957,204.14258749995054,36.7433357747,34.05102991694028
120,0,1.1560034681774725,198.31844401,199.99505001741218,201.24621582,206.8764812527564,35.3115779622,32.78319439873865
900,6,2.026489519336841,189.961789551,189.94096464823667,175.956018066,177.35656795724037,45.3678157552,44.630887233870396
960,0,1.6415182940057003,189.068840332,188.32289038822077,173.19642334,171.8515788877427,44.9519669596,47.053951778373076
1020,0,1.2554388112653652,188.011156413,186.6532312856771,169.332409668,166.13747600358658,45.7570947266,49.59761783842577
1080,0,0.8809417536569945,185.30065918,184.9458041743224,161.883288574,160.26484301350624,50.3264412435,52.242814186933224
1140,0,0.5307178037217468,183.212867567,183.21442588787306,155.64753418,154.2842636262358,54.6544099935,54.97046959680016
1205,0,0.19341894296367212,182.109417589,181.327762863513,150.508935547,147.7421560425728,61.2473917643,57.996363219071654
1260,0,-0.04614804296474173,179.956250814,179.73508312455658,143.159423828,142.20160049506117,62.1764444987,60.59687269223141
1320,0,-0.2474085746336641,176.316713053,178.01475231512248,133.067956543,136.20068416862534,68.4058422852,63.457477923605154
1380,0,-0.3736332684648259,175.522173394,176.3257376654598,127.626171875,130.29415627993595,67.6855126953,66.32425730795728
1440,0,-0.41213144191706874,174.104047852,174.68185600928513,123.158483887,124.53260053772728,68.4875138346,69.17813961819252
1500,0,-0.3502124124492329,172.175671387,173.09692418031494,115.758129883,118.9666006507334,70.6777864583,72.0000536272156
1560,0,0.5198751828103968,171.695696615,171.58122124012797,113.279516602,113.63640682899619,71.5421280924,74.7743035786575
2340,28,27.239196316339328,153.974749891,155.12739056618216,58.4150878906,61.54772350986431,115.905710449,106.73258262576145
2400,0,2.5741574774771356,158.661036784,153.85239197227554,66.970703125,58.46466882435794,101.962022298,108.91634689343832
2460,0,-3.322709140465997,153.851107856,152.53901305263085,61.5961547852,55.456494451507005,102.799836426,111.0871782425278
2520,0,0.7207130617149199,154.38708686,151.17984400813748,58.1075439453,52.511783107891965,115.381419271,113.34817152422148
2580,0,1.1587525767926747,149.231013726,149.76747503968483,49.5508911133,49.61911751009324,123.09352946,115.82280424049691
2640,0,0.5017428085880126,147.879400228,148.2988448511305,47.1137817383,46.77098783035618,118.195327148,118.60264655273355
2700,0,0.08463252575572343,146.358850911,146.7882861582051,44.1738525391,43.97551406358571,119.296040853,121.65163925991936
2760,0,-0.14146573316352182,143.421616211,145.25448017960736,36.2372680664,41.244723660351724,125.331909993,124.90181582044434
2820,0,-0.2254394296290525,142.132135688,143.71610813403626,34.2151977539,38.59064407122412,130.045596517,128.28520969269843
2880,0,-0.21617602510019776,141.161205783,142.19185124019046,33.007019043,36.02530274677272,125.017622884,131.73385433507156
2940,0,-0.1625629810362867,139.042572428,140.70039071676885,30.1034057617,33.56072713756739,136.844440918,135.17978320595378
3000,0,-0.10531790250112835,135.547549913,139.25714266702488,26.4697387695,31.206517583563702,142.131357422,138.5641710622682
3780,3,0.2858393191229348,126.986224772,124.7655679726364,9.83082275391,9.712449502953817,169.29980957,170.16009126511756
3840,0,0.2933809666665436,125.753285319,123.9475114034045,8.34353027344,8.671146893185682,167.878629557,171.17745794485305
3900,0,0.2983599459927752,124.748440213,123.16729031369417,7.65933837891,7.7046092524923875,168.39210612,171.92736105532111
3960,0,0.30090793401542293,122.132484809,122.42399522953194,5.19608154297,6.810301367757855,177.142087402,172.39668184611054
4020,0,0.30115660764827984,120.246427138,121.71671667694447,5.21226806641,5.985688025866013,179.35630778,172.57230156681038
4080,0,0.2992376438051389,121.786636013,121.04454518195828,5.75576171875,5.228234013700786,170.184438477,172.4411014670094
4140,0,0.29528271939979334,120.658397081,120.4065712706,5.45236816406,4.535404118146099,170.70613444,172.00136985217566
4200,0,0.28942351134603606,120.205786675,119.80188546889615,4.96552734375,3.9046631260858793,170.361408691,171.29702325129287
4260,0,0.28179169655766,119.41875434,119.22957830287328,4.13503417969,3.3334758244040508,169.897728678,170.38338524922392
4320,0,0.2725189519484587,119.11590332,118.68874029855803,4.66545410156,2.8193069999845397,172.945032552,169.36540946629705
4380,0,0.26173695443222494,119.149033746,118.17846198197695,4.70322265625,2.359621439711272,165.704685872,168.54656966470108
4440,0,0.2495773809227516,117.867648655,117.69783387915656,4.95120849609,1.9518839304681712,167.38484375,168.27996964209026
5220,0,0.02605650569065899,112.456569282,113.73402733680848,1.37958984375,0.2250469862393672,206.190674642,204.8558201748486
5280,0,0.00843694422410611,110.859228516,113.5730074594284,0.787536621094,0.27838481423081546,211.232970378,206.85287310097615
5340,0,-0.008585039528790313,111.738954536,113.42799568620765,0.625256347656,0.3456424965113152,208.842704264,208.1655186983195
5400,0,-0.02487776865423695,114.567698296,113.29808254317277,0.661987304688,0.4242848199647933,203.406441243,208.68020333077678
5460,0,-0.04030956623844087,113.078861491,113.18235855635037,0.721752929688,0.5117765714751747,203.533308105,208.28337336224644
5520,0,-0.05474875536760915,112.630561523,113.07991425176698,0.613635253906,0.6055825379263855,209.289091797,206.86147515662668
5580,0,-0.06806365912794844,113.438845486,112.98984015544917,0.643103027344,0.7031675062023516,204.193760579,204.4633630030528
5640,0,-0.0801226006056658,113.266739366,112.91122679342357,0.621313476563,0.8019962631869973,202.091201986,201.78752289160704
5700,0,-0.09079390288696829,112.315668132,112.84316469171671,0.65576171875,0.8995335957642492,203.489643555,199.69484873760868
5760,0,-0.09994588905806266,111.316347114,112.78474437635516,0.608654785156,0.9932442908180327,205.283635254,198.82306745534223
5820,0,-0.10744688220515597,114.08851454,112.73505637336552,1.20485839844,1.0805931352322733,192.387692057,198.91723795495267
5880,0,-0.11316520541445509,113.259790582,112.69319120877432,0.8666015625,1.1590449158908958,195.890478516,199.49925214555049
6660,0,-0.054544074664663364,112.237263997,112.63591513106653,0.32705078125,1.3055370456855402,207.534750977,208.4593625237334
6720,0,-0.043681771800443664,111.602165527,112.65510733275562,0.363366699219,1.2645599310391304,214.420368652,209.12592180437684
6780,0,-0.03247122049505353,113.092662489,112.67570278839092,0.299035644531,1.2183239168736109,212.909934082,209.78203242291787
6840,0,-0.021024284920665243,114.497399089,112.6973079186525,0.304223632812,1.1672699587141626,213.120188802,210.42625264634222
6900,0,-0.009452829249451728,115.682050781,112.71952914422045,0.405908203125,1.1118390120859738,206.522399902,211.05714074163555
6960,0,0.0021312823464145567,115.033565538,112.74197288577483,0.305676269531,1.0524720325142265,209.329489746,211.67325497578364
7020,0,0.013616185694760918,114.465487739,112.76424556399573,0.322692871094,0.9896099755241059,211.17102946,212.27315361577223
7080,0,0.024890016623414765,113.363846571,112.78595359956327,0.27724609375,0.9236937966407958,210.423680013,212.85539492858697
7140,0,0.03584091096020345,112.68042372,112.80670341315749,0.271643066406,0.8551644513894817,211.408234863,213.4185371812136
