minutes,values
0,200.44082430147398
60,204.14258749995054
120,206.8764812527564
900,177.35656795724037
960,171.8515788877427
1020,166.13747600358658
1080,160.26484301350624
1140,154.2842636262358
1205,147.7421560425728
1260,142.20160049506117
1320,136.20068416862534
1380,130.29415627993595
1440,124.53260053772728
1500,118.9666006507334
1560,113.63640682899619
2340,61.54772350986431
2400,58.46466882435794
2460,55.456494451507005
2520,52.511783107891965
2580,49.61911751009324
2640,46.77098783035618
2700,43.97551406358571
2760,41.244723660351724
2820,38.59064407122412
2880,36.02530274677272
2940,33.56072713756739
3000,31.206517583563702
3780,9.712449502953817
3840,8.671146893185682
3900,7.7046092524923875
3960,6.810301367757855
4020,5.985688025866013
4080,5.228234013700786
4140,4.535404118146099
4200,3.9046631260858793
4260,3.3334758244040508
4320,2.8193069999845397
4380,2.359621439711272
4440,1.9518839304681712
5220,0.2250469862393672
5280,0.27838481423081546
5340,0.3456424965113152
5400,0.4242848199647933
5460,0.5117765714751747
5520,0.6055825379263855
5580,0.7031675062023516
5640,0.8019962631869973
5700,0.8995335957642492
5760,0.9932442908180327
5820,1.0805931352322733
5880,1.1590449158908958
6660,1.3055370456855402
6720,1.2645599310391304
6780,1.2183239168736109
6840,1.1672699587141626
6900,1.1118390120859738
6960,1.0524720325142265
7020,0.9896099755241059
7080,0.9236937966407958
7140,0.8551644513894817
7200,0.7844628952953465
7260,0.7120300838835747
7320,0.6383069726793518
8100,-0.2368759901297824
8160,-0.2823629682839739
8220,-0.32252591335285186
8280,-0.35692386981123203
8340,-0.38511588213393044
8400,-0.40666099479576256
8460,-0.4211182522715431
8520,-0.42804669903608894
8580,-0.42700537956421514
8640,-0.4175533383307375
8700,-0.3992496198104718
8760,-0.3716532684782339
9540,1.033363648689243
9600,1.2311283271741853
9660,1.4074267971932597
9720,1.525326840116041
9780,1.54789623731211
9840,1.4382027701510416
9900,1.1593142200024136
9960,0.6869564183653695
10020,0.04748739725730762
10080,-0.7200767611748102
10140,-1.57671997478402
10200,-2.483426161423359
10980,-1.0740197566083154
11040,1.4010708983367037
11100,4.327278843906303
11160,7.659559193697701
11220,11.226509427176655
11280,14.35129648728302
11340,16.230729682825174
11400,16.30453401215723
11460,14.984097231816104
11520,12.923722787884467
11580,10.680683370394084
11640,8.42412864517325
12420,10.673128162554185
