minutes,motion-dots,motion,brightness-dots,brightness,disuniformity-dots,disuniformity,biomass-dots,biomass,datetime,image,Fri Apr 13 20:06:49 2018,zero,blueshift,aprile
713,0.0,0.0,80.7371419271,81.329967946459,76.4014485677,77.39640858719926,20.1832532297,17.81279392074436,2018-04-14 08.00,zero/blueshift-aprile_2018_04_14-08_00.jpg
773,0.0,0.0,80.9737994026,81.09938343902988,76.8019205729,76.90923453564501,18.6315410539,18.04593287140266,2018-04-14 09.00,zero/blueshift-aprile_2018_04_14-09_00.jpg
833,0.0,0.0,80.8953500519,80.87501424630034,76.5766601562,76.43349220783035,18.0362017463,18.274560423093902,2018-04-14 10.00,zero/blueshift-aprile_2018_04_14-10_00.jpg
893,0.0,0.0,80.658875017,80.6567253361806,76.070719401,75.9689115715706,18.964337597,18.49878539922868,2018-04-14 11.00,zero/blueshift-aprile_2018_04_14-11_00.jpg
953,0.0,0.0,80.4567758332,80.44438167658085,75.6056315104,75.5152225946812,18.9226463567,18.71871662321758,2018-04-14 12.00,zero/blueshift-aprile_2018_04_14-12_00.jpg
1013,0.0,0.0,80.3352211414,80.23784823541122,75.1548665365,75.07215524497755,19.1866252425,18.93446291847119,2018-04-14 13.00,zero/blueshift-aprile_2018_04_14-13_00.jpg
1073,0.0,0.0,80.3307817181,80.03698998058195,75.094156901,74.63943949027502,18.6742969388,19.146133108400107,2018-04-14 14.00,zero/blueshift-aprile_2018_04_14-14_00.jpg
1133,0.0,0.0,80.092790671,79.84167188000316,74.5411783854,74.21680529838899,19.2661952997,19.353836016414906,2018-04-14 15.00,zero/blueshift-aprile_2018_04_14-15_00.jpg
1193,0.0,0.0,80.0058361843,79.65175890158504,74.3251139323,73.80398263713482,18.5413638046,19.557680465926197,2018-04-14 16.00,zero/blueshift-aprile_2018_04_14-16_00.jpg
1253,0.0,0.0,79.8224085989,79.46711601323777,73.9137369792,73.40070147432796,18.5301250383,19.757775280344553,2018-04-14 17.00,zero/blueshift-aprile_2018_04_14-17_00.jpg
1313,0.0,0.0,79.0639071861,79.28760818287155,72.4440917969,73.00669177778376,19.2960280076,19.95422928308058,2018-04-14 18.00,zero/blueshift-aprile_2018_04_14-18_00.jpg
1373,0.0,0.0,78.924362894,79.11310037839652,72.1839192708,72.62168351531763,19.8357434641,20.14715129754485,2018-04-14 19.00,zero/blueshift-aprile_2018_04_14-19_00.jpg
1433,0.0,0.0,78.9664678436,78.94345756772287,72.19140625,72.24540665474494,20.2226731643,20.33665014714796,2018-04-14 20.00,zero/blueshift-aprile_2018_04_14-20_00.jpg
2153,0.0,0.0,76.9182408684,77.23806167545068,67.9220377604,68.31284196036312,23.0691141365,22.383241204669655,2018-04-15 08.00,zero/blueshift-aprile_2018_04_15-08_00.jpg
2213,0.0,0.0,77.3360950478,77.11937586402098,68.460530599,68.02550039560562,21.974207261,22.538141841441373,2018-04-15 09.00,zero/blueshift-aprile_2018_04_15-09_00.jpg
2273,0.0,0.0,77.2185555385,77.0036645971351,68.2388509115,67.74310978215699,22.1756810406,22.6911428411002,2018-04-15 10.00,zero/blueshift-aprile_2018_04_15-10_00.jpg
2333,0.0,0.0,77.0096886063,76.89079284270326,67.8058268229,67.46540008783268,22.824422041,22.842353027056717,2018-04-15 11.00,zero/blueshift-aprile_2018_04_15-11_00.jpg
2393,0.0,0.0,77.0003811572,76.78062556863559,67.6672363281,67.192101280448,22.4306378932,22.99188122272151,2018-04-15 12.00,zero/blueshift-aprile_2018_04_15-12_00.jpg
2453,0.0,0.0,76.6805170462,76.6730277428423,66.9410807292,66.9229433278184,22.7533426522,23.139836251505166,2018-04-15 13.00,zero/blueshift-aprile_2018_04_15-13_00.jpg
2513,0.0,0.0,76.5889339937,76.56786433323354,66.7127278646,66.65765619775922,23.0228308185,23.28632693681828,2018-04-15 14.00,zero/blueshift-aprile_2018_04_15-14_00.jpg
2573,0.0,0.0,76.4596328636,76.4650003077195,66.3866373698,66.39596985808588,22.8480325138,23.431462102071446,2018-04-15 15.00,zero/blueshift-aprile_2018_04_15-15_00.jpg
2633,0.0,0.0,76.3860266459,76.3643006342104,66.2323404948,66.13761427661376,23.107625166,23.575350570675255,2018-04-15 16.00,zero/blueshift-aprile_2018_04_15-16_00.jpg
2693,0.0,0.0,76.1550835503,76.26563028061634,65.7556966146,65.88231942115827,23.6727216733,23.718101166040285,2018-04-15 17.00,zero/blueshift-aprile_2018_04_15-17_00.jpg
2753,0.0,0.0,76.1361194087,76.16885421484751,65.6881510417,65.62981525953475,23.0451076134,23.85982271157714,2018-04-15 18.00,zero/blueshift-aprile_2018_04_15-18_00.jpg
2813,0.0,0.0,75.925479239,76.07383740481411,65.4173177083,65.37983175955864,23.2034071181,24.00062403069639,2018-04-15 19.00,zero/blueshift-aprile_2018_04_15-19_00.jpg
2873,0.0,0.0,75.8385492196,75.98044481842634,65.2603352865,65.13209888904528,23.3878019046,24.14061394680865,2018-04-15 20.00,zero/blueshift-aprile_2018_04_15-20_00.jpg
3593,1.56862745098,1.56862745098,73.1465153314,74.93727154543366,58.9560546875,62.236561825783056,29.0753497753,25.796815227064172,2018-04-16 08.00,zero/blueshift-aprile_2018_04_16-08_00.jpg
3653,0.0,0.0,73.8435883034,74.85270594626466,59.9818522135,61.99351420948615,27.1668836806,25.936159834449068,2018-04-16 09.00,zero/blueshift-aprile_2018_04_16-09_00.jpg
3713,0.0,0.0,75.1554142838,74.76787412148374,62.2765299479,61.74893677206747,25.9646490758,26.076216566575212,2018-04-16 10.00,zero/blueshift-aprile_2018_04_16-10_00.jpg
